"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","62","Create file","LMS service","2026-08-24","passed","2026-08-24","Create entity","Files","",""
"","617","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","14","Get file","LMS service","2026-08-24","passed","2026-08-24","Get entity","Files","",""
"","12","Get user me","LMS service","2026-08-24","passed","2026-08-24","Get entity","Users","",""
"","15","Get exercises","LMS service","2026-08-24","passed","2026-08-24","Get entities","Exercises","",""
"","323","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
"","339","Update course","LMS service","2026-08-24","passed","2026-08-24","Update entity","Courses","",""
"","22","Delete exercise","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Exercises","",""
"","330","Get courses","LMS service","2026-08-24","passed","2026-08-24","Get entities","Courses","",""
"","332","Delete file","LMS service","2026-08-24","passed","2026-08-24","Delete entity","Files","",""
"","623","Login with correct email and password","LMS service","2026-08-24","passed","2026-08-24","Login","Authentication","",""
"","303","Get file with incorrect file id","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","14","Create file with empty filename","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","22","Get exercise","LMS service","2026-08-24","passed","2026-08-24","Get entity","Exercises","",""
"","25","Create exercise","LMS service","2026-08-24","passed","2026-08-24","Create entity","Exercises","",""
"","19","Update exercise","LMS service","2026-08-24","passed","2026-08-24","Update entity","Exercises","",""
"","32","Create course","LMS service","2026-08-24","passed","2026-08-24","Create entity","Courses","",""
"","301","Create file with empty directory","LMS service","2026-08-24","passed","2026-08-24","Validate entity","Files","",""
"","630","Create user","LMS service","2026-08-24","passed","2026-08-24","Create entity","Users","",""
